이름,테마,주재료,런치 주재료,디너 주재료,런치가격,디너가격,가격,위치,평점,간략한 소개,코스여부
미미 면가,일식,"메밀, 새우, 고등어",,,,,23000,강남구,4.1,소바 전문점,X
마포옥,한식,"소고기, 김치",,,,,20000,마포구,4.2,설렁탕 전문점,X
맷돌,멕시칸식,,"참다랑어, 돼지고기, 고수, 갑오징어, 소갈비살","참다랑어, 돼지고기, 고수, 갑오징어, 소갈비살",39000,39000,,성동구,4.8,멕시칸 타코 레스토랑,O
스와니예,퓨전식,,"대게, 관자, 전복, 소고기, 메밀","대게, 관자, 전복, 소고기, 메밀",210000,320000,260000,강남구,4.5,파인다이닝 레스토랑,O
레귬,비건식,,"완두콩, 브로콜리, 버섯, 토마토","완두콩, 브로콜리, 버섯, 토마토",87000,157000,,강남구,4.9,베지테리안 파인다이닝,O
리북방,한식,,"전복, 문어, 소고기, 돼지고기, 순대","돼지고기, 버섯, 생선, 돼지고기, 소고기",50000,78000,,마포구,4.3,이북 음식 파인다이닝,O
만두집,한식,"밀가루, 돼지고기",,,,,12000,강남구,4.2,만둣국 전문점,X
마테르,퓨전식,,"새우, 소고기, 양고기, 채소","새우, 소고기, 양고기, 채소",98000,165000,,강남구,4.7,한식 파인다이닝,O
고료리 켄,일식,,"쭈꾸미, 참치, 다시마, 버섯, 갈치","쭈꾸미, 참치, 다시마, 버섯, 갈치",,250000,,강남구,4.4,일식 파인다이닝,O
우가,한식,"소고기, 육회, 된장",,,,,90000,강남구,4.4,한식 소고기 구이 전문점,X
곰탕랩,한식,"소고기, 육회, 된장",,,,,15000,강남구,3.7,곰탕 전문점,X
트리드,퓨전식,,"전복, 밀, 소고기, 참깨, 버섯","전복, 밀, 소고기, 참깨, 버섯",120000,200000,,강남구,4.3,파인다이닝 레스토랑,O
꿉당,한식,돼지고기,,,,,19000,서초구,4.5,돼지고기 전문점,X
에빗,한식,,"한치, 개미, 전복, 오리, 생선","한치, 개미, 전복, 생선, 소고기",150000,250000,,강남구,4.6,이노베이티브 한식,O
류니끄,양식,,"샐러리, 감자, 참외, 명란알, 농어, 채끝","호두, 돼지 등심, 닭, 무화과, 삼치, 메추라기, 옥돔, 한우 부채살, 우삼겹, 마스카포네, 코코아, 코코넛",150000,300000,,강남구,4.4,양식 파인다이닝,O
